output_speed_rpm,output_speed_rad_s,peak_envelope_nm,gp_mean_unconstrained_nm,gp_std_nm,gp_lower95_nm,gp_upper95_nm,point_source
92.8967254408061,9.72812233957948,120,120,0,120,120,Current-limited model plateau
93,9.73893722612836,120,120,0,120,120,Current-limited model plateau
93.5,9.79129710368819,120,120,0,120,120,Current-limited model plateau
94,9.84365698124802,120,120,0,120,120,Current-limited model plateau
94.5,9.89601685880785,120,120,0,120,120,Current-limited model plateau
94.8110831234257,9.92859340731485,120,120,0,120,120,Current-limited model plateau
95,9.94837673636768,120,120,0,120,120,Current-limited model plateau
95.5,10.0007366139275,120,120,0,120,120,Current-limited model plateau
96,10.0530964914873,120,120,0,120,120,Current-limited model plateau
96.5,10.1054563690472,120,120,0,120,120,Current-limited model plateau
96.624685138539,10.118513366222,120,120,0,120,120,Current-limited model plateau
97,10.157816246607,120,120,0,120,120,Current-limited model plateau
97.5,10.2101761241668,120,120,0,120,120,Current-limited model plateau
98,10.2625360017267,120,120,0,120,120,Current-limited model plateau
98.4382871536524,10.3084333251292,120,120,0,120,120,Current-limited model plateau
98.5,10.3148958792865,120,120,0,120,120,Current-limited model plateau
99,10.3672557568463,120,120,0,120,120,Current-limited model plateau
99.5,10.4196156344061,120,120,0,120,120,Current-limited model plateau
100,10.471975511966,120,120,0,120,120,Current-limited model plateau
100.352644836272,10.5089043928646,120,120,0,120,120,Current-limited model plateau
100.5,10.5243353895258,120,120,0,120,120,Current-limited model plateau
101,10.5766952670856,120,120,0,120,120,Current-limited model plateau
101.5,10.6290551446455,120,120,0,120,120,Current-limited model plateau
102,10.6814150222053,120,120,0,120,120,Current-limited model plateau
102.166246851385,10.6988243517717,120,120,0,120,120,Current-limited model plateau
102.5,10.7337748997651,120,120,0,120,120,Current-limited model plateau
103,10.786134777325,120,120,0,120,120,Current-limited model plateau
103.5,10.8384946548848,120,120,0,120,120,Current-limited model plateau
103.979848866499,10.888744310679,120,120,0,120,120,Current-limited model plateau
104,10.8908545324446,120,120,0,120,120,Current-limited model plateau
104.5,10.9432144100044,120,120,0,120,120,Current-limited model plateau
105,10.9955742875643,120,120,0,120,120,Current-limited model plateau
105.5,11.0479341651241,120,120,0,120,120,Current-limited model plateau
105.793450881612,11.0786642695862,120,120,0,120,120,Current-limited model plateau
106,11.1002940426839,120,120,0,120,120,Current-limited model plateau
106.5,11.1526539202438,120,120,0,120,120,Current-limited model plateau
107,11.2050137978036,120,120,0,120,120,Current-limited model plateau
107.5,11.2573736753634,120,120,0,120,120,Current-limited model plateau
107.707808564232,11.2791353373216,120,120,0,120,120,Current-limited model plateau
108,11.3097335529233,120,120,0,120,120,Current-limited model plateau
108.5,11.3620934304831,120,120,0,120,120,Current-limited model plateau
109,11.4144533080429,120,120,0,120,120,Current-limited model plateau
109.5,11.4668131856027,120,120,0,120,120,Current-limited model plateau
109.521410579345,11.4690552962287,120,120,0,120,120,Current-limited model plateau
110,11.5191730631626,120,120,0,120,120,Current-limited model plateau
110.5,11.5715329407224,120,120,0,120,120,Current-limited model plateau
111,11.6238928182822,120,120,0,120,120,Current-limited model plateau
111.335012594458,11.6589752551359,120,120,0,120,120,Current-limited model plateau
111.5,11.6762526958421,120,120,0,120,120,Current-limited model plateau
112,11.7286125734019,120,120,0,120,120,Current-limited model plateau
112.5,11.7809724509617,120,120,0,120,120,Current-limited model plateau
113,11.8333323285216,120,120,0,120,120,Current-limited model plateau
113.249370277078,11.8594463228713,120,120,0,120,120,Current-limited model plateau
113.5,11.8856922060814,120,120,0,120,120,Current-limited model plateau
114,11.9380520836412,120,120,0,120,120,Current-limited model plateau
114.5,11.990411961201,120,120,0,120,120,Current-limited model plateau
115,12.0427718387609,120,120,0,120,120,Current-limited model plateau
115.062972292191,12.0493662817784,120,120,0,120,120,Current-limited model plateau
115.5,12.0951317163207,120,120,0,120,120,Current-limited model plateau
116,12.1474915938805,120,120,0,120,120,Current-limited model plateau
116.5,12.1998514714404,120,120,0,120,120,Current-limited model plateau
116.876574307305,12.2392862406857,120,120,0,120,120,Current-limited model plateau
117,12.2522113490002,120,120,0,120,120,Current-limited model plateau
117.5,12.30457122656,120,120,0,120,120,Current-limited model plateau
118,12.3569311041199,120,120,0,120,120,Current-limited model plateau
118.5,12.4092909816797,120,120,0,120,120,Current-limited model plateau
118.790931989924,12.439757308421,120,120,0,120,120,Current-limited model plateau
119,12.4616508592395,120,120,0,120,120,Current-limited model plateau
119.5,12.5140107367993,120,120,0,120,120,Current-limited model plateau
120,12.5663706143592,120,120,0,120,120,Current-limited model plateau
120.5,12.618730491919,120,120,0,120,120,Current-limited model plateau
120.604534005038,12.6296772673283,120,120,0,120,120,Current-limited model plateau
121,12.6710903694788,120,120,0,120,120,Current-limited model plateau
121.5,12.7234502470387,120,120,0,120,120,Current-limited model plateau
122,12.7758101245985,120,120,0,120,120,Current-limited model plateau
122.418136020151,12.8195972262354,120,120,0,120,120,Current-limited model plateau
122.5,12.8281700021583,120,120,0,120,120,Current-limited model plateau
123,12.8805298797182,120,120,0,120,120,Current-limited model plateau
123.5,12.932889757278,120,120,0,120,120,Current-limited model plateau
124,12.9852496348378,120,120,0,120,120,Current-limited model plateau
124.332493702771,13.0200682939708,120,120,0,120,120,Current-limited model plateau
124.5,13.0376095123976,120,120.045177958151,0.157701984123358,119.73608206927,120,Constrained GP mean
125,13.0899693899575,119.481919354621,119.481919354621,0.149424766799106,119.189046811695,119.774791897547,Constrained GP mean
125.5,13.1423292675173,118.900804681655,118.900804681655,0.146233933660139,118.614186171681,119.187423191629,Constrained GP mean
126,13.1946891450771,118.289291471942,118.289291471942,0.145206877080087,118.004685992866,118.573896951019,Constrained GP mean
126.146095717884,13.209988252878,118.103064638623,118.103064638623,0.145163724478955,117.818543738644,118.387585538602,Constrained GP mean
126.5,13.247049022637,117.635980366917,117.635980366917,0.14543101845266,117.35093557075,117.921025163085,Constrained GP mean
127,13.2994089001968,116.940956746599,116.940956746599,0.145870594758476,116.655050380872,117.226863112325,Constrained GP mean
127.5,13.3517687777566,116.21093994089,116.21093994089,0.145762661599626,115.925245124155,116.496634757625,Constrained GP mean
127.959697732997,13.3999082117851,115.514728302692,115.514728302692,0.145508881979411,115.229530894013,115.799925711372,Constrained GP mean
128,13.4041286553165,115.452729518854,115.452729518854,0.145507696690929,115.16753443334,115.737924604369,Constrained GP mean
128.5,13.4564885328763,114.672838444207,114.672838444207,0.145721724145414,114.387223864882,114.958453023532,Constrained GP mean
129,13.5088484104361,113.87687822301,113.87687822301,0.14571237965351,113.591281958889,114.162474487131,Constrained GP mean
129.5,13.5612082879959,113.070283548295,113.070283548295,0.145187094483172,112.785716843108,113.354850253482,Constrained GP mean
129.874055415617,13.6003792795205,112.463162871771,112.463162871771,0.144806744499726,112.179341652551,112.74698409099,Constrained GP mean
130,13.6135681655558,112.258478708783,112.258478708783,0.144768079473374,111.974733273015,112.542224144551,Constrained GP mean
