output_speed_rpm,output_speed_rad_s,peak_envelope_nm,gp_mean_unconstrained_nm,gp_std_nm,gp_lower95_nm,gp_upper95_nm,point_source
34.25,3.58665161284835,27,27,0,27,27,Manufacturer peak plateau
34.5,3.61283155162826,27,27,0,27,27,Manufacturer peak plateau
34.75,3.63901149040818,27,27,0,27,27,Manufacturer peak plateau
35,3.66519142918809,27,27,0,27,27,Manufacturer peak plateau
35.25,3.69137136796801,27,27,0,27,27,Manufacturer peak plateau
35.5,3.71755130674792,27,27,0,27,27,Manufacturer peak plateau
35.75,3.74373124552784,27,27,0,27,27,Manufacturer peak plateau
36,3.76991118430775,27,27,0,27,27,Manufacturer peak plateau
36.25,3.79609112308767,27,27,0,27,27,Manufacturer peak plateau
36.5,3.82227106186758,27,27,0,27,27,Manufacturer peak plateau
36.75,3.8484510006475,27,27,0,27,27,Manufacturer peak plateau
37,3.87463093942741,27,27,0,27,27,Manufacturer peak plateau
37.25,3.90081087820733,27,27,0,27,27,Manufacturer peak plateau
37.5,3.92699081698724,27,27,0,27,27,Manufacturer peak plateau
37.75,3.95317075576716,27,27,0,27,27,Manufacturer peak plateau
38,3.97935069454707,27,27,0,27,27,Manufacturer peak plateau
38.25,4.00553063332699,27,27,0,27,27,Manufacturer peak plateau
38.5,4.0317105721069,27,27,0,27,27,Manufacturer peak plateau
38.75,4.05789051088682,27,27,0,27,27,Manufacturer peak plateau
39,4.08407044966673,27,27,0,27,27,Manufacturer peak plateau
39.25,4.11025038844665,27,27,0,27,27,Manufacturer peak plateau
39.5,4.13643032722656,27,27,0,27,27,Manufacturer peak plateau
39.75,4.16261026600648,27,27,0,27,27,Manufacturer peak plateau
40,4.18879020478639,27,27,0,27,27,Manufacturer peak plateau
40.25,4.21497014356631,27,27,0,27,27,Manufacturer peak plateau
40.5,4.24115008234622,27,27,0,27,27,Manufacturer peak plateau
40.75,4.26733002112614,27,27,0,27,27,Manufacturer peak plateau
41,4.29350995990605,27,27,0,27,27,Manufacturer peak plateau
41.25,4.31968989868597,27,27,0,27,27,Manufacturer peak plateau
41.5,4.34586983746588,27,27,0,27,27,Manufacturer peak plateau
41.75,4.3720497762458,27,27,0,27,27,Manufacturer peak plateau
42,4.39822971502571,27,27,0,27,27,Manufacturer peak plateau
42.25,4.42440965380563,27,27,0,27,27,Manufacturer peak plateau
42.5,4.45058959258554,27,27,0,27,27,Manufacturer peak plateau
42.75,4.47676953136545,27,27,0,27,27,Manufacturer peak plateau
43,4.50294947014537,27,27,0,27,27,Manufacturer peak plateau
43.25,4.52912940892528,27,27,0,27,27,Manufacturer peak plateau
43.5,4.5553093477052,27,27,0,27,27,Manufacturer peak plateau
43.75,4.58148928648512,27,27,0,27,27,Manufacturer peak plateau
44,4.60766922526503,27,27,0,27,27,Manufacturer peak plateau
44.25,4.63384916404494,27,27,0,27,27,Manufacturer peak plateau
44.5,4.66002910282486,27,27,0,27,27,Manufacturer peak plateau
44.75,4.68620904160477,27,27,0,27,27,Manufacturer peak plateau
45,4.71238898038469,27,27,0,27,27,Manufacturer peak plateau
45.25,4.7385689191646,27,27,0,27,27,Manufacturer peak plateau
45.5,4.76474885794452,27,27,0,27,27,Manufacturer peak plateau
45.75,4.79092879672443,27,27,0,27,27,Manufacturer peak plateau
46,4.81710873550435,27,27,0,27,27,Manufacturer peak plateau
46.25,4.84328867428426,27,27,0,27,27,Manufacturer peak plateau
46.5,4.86946861306418,27,27,0,27,27,Manufacturer peak plateau
46.75,4.89564855184409,27,27,0,27,27,Manufacturer peak plateau
47,4.92182849062401,27,27,0,27,27,Manufacturer peak plateau
47.25,4.94800842940392,27,27,0,27,27,Manufacturer peak plateau
47.5,4.97418836818384,27,27,0,27,27,Manufacturer peak plateau
47.75,5.00036830696375,27,27,0,27,27,Manufacturer peak plateau
48,5.02654824574367,27,27,0,27,27,Manufacturer peak plateau
