output_speed_rpm,output_speed_rad_s,peak_envelope_nm,gp_mean_unconstrained_nm,gp_std_nm,gp_lower95_nm,gp_upper95_nm,point_source
70.5,7.38274273593601,120,120,0,120,120,Manufacturer peak plateau extrapolation
71,7.43510261349584,120,120,0,120,120,Manufacturer peak plateau extrapolation
71.5,7.48746249105567,120,120,0,120,120,Manufacturer peak plateau extrapolation
72,7.5398223686155,120,120,0,120,120,Manufacturer peak plateau extrapolation
72.5,7.59218224617533,120,120,0,120,120,Manufacturer peak plateau extrapolation
73,7.64454212373516,120,120,0,120,120,Manufacturer peak plateau extrapolation
73.5,7.69690200129499,120,120,0,120,120,Manufacturer peak plateau extrapolation
74,7.74926187885482,120,120,0,120,120,Manufacturer peak plateau extrapolation
74.5,7.80162175641465,120,120,0,120,120,Manufacturer peak plateau extrapolation
75,7.85398163397448,120,120,0,120,120,Manufacturer peak plateau extrapolation
75.5,7.90634151153431,120,120,0,120,120,Manufacturer peak plateau extrapolation
76,7.95870138909414,120,120,0,120,120,Manufacturer peak plateau extrapolation
76.5,8.01106126665397,120,120,0,120,120,Manufacturer peak plateau extrapolation
77,8.0634211442138,120,120,0,120,120,Manufacturer peak plateau extrapolation
77.5,8.11578102177363,120,120,0,120,120,Manufacturer peak plateau extrapolation
78,8.16814089933346,120,120,0,120,120,Manufacturer peak plateau extrapolation
78.5,8.22050077689329,120,120,0,120,120,Manufacturer peak plateau extrapolation
79,8.27286065445312,120,120,0,120,120,Manufacturer peak plateau extrapolation
79.5,8.32522053201295,120,120,0,120,120,Manufacturer peak plateau extrapolation
80,8.37758040957278,120,120,0,120,120,Manufacturer peak plateau extrapolation
80.5,8.42994028713261,120,120,0,120,120,Manufacturer peak plateau extrapolation
81,8.48230016469244,120,120,0,120,120,Manufacturer peak plateau extrapolation
81.5,8.53466004225227,120,120,0,120,120,Manufacturer peak plateau extrapolation
82,8.5870199198121,120,120,0,120,120,Manufacturer peak plateau extrapolation
82.5,8.63937979737193,120,120,0,120,120,Manufacturer peak plateau extrapolation
83,8.69173967493176,120,120,0,120,120,Manufacturer peak plateau extrapolation
83.5,8.74409955249159,120,120,0,120,120,Manufacturer peak plateau extrapolation
84,8.79645943005142,120,120,0,120,120,Manufacturer peak plateau extrapolation
84.5,8.84881930761125,120,120,0,120,120,Manufacturer peak plateau extrapolation
85,8.90117918517108,120,120,0,120,120,Manufacturer peak plateau extrapolation
85.5,8.95353906273091,120,120,0,120,120,Manufacturer peak plateau extrapolation
86,9.00589894029074,120,120,0,120,120,Manufacturer peak plateau extrapolation
86.5,9.05825881785057,120,120,0,120,120,Manufacturer peak plateau extrapolation
87,9.1106186954104,120,120,0,120,120,Manufacturer peak plateau extrapolation
87.5,9.16297857297023,120,120,0,120,120,Manufacturer peak plateau extrapolation
88,9.21533845053006,120,120,0,120,120,Manufacturer peak plateau extrapolation
88.5,9.26769832808989,120,120,0,120,120,Manufacturer peak plateau extrapolation
89,9.32005820564972,120,120,0,120,120,Manufacturer peak plateau extrapolation
89.5,9.37241808320955,120,120,0,120,120,Manufacturer peak plateau extrapolation
